Niveau,Code de la CNP v1.0,Titres de classes,Nom du type d’élément Français,Description d’élément Français
5,00010,Membres des corps législatifs,Exemple(s) illustratif(s),chef de bande - Premières nations 
5,00010,Membres des corps législatifs,Exemple(s) illustratif(s),commissaire de conseil scolaire 
5,00010,Membres des corps législatifs,Exemple(s) illustratif(s),conseiller municipal/conseillère municipale 
5,00010,Membres des corps législatifs,Exemple(s) illustratif(s),député provincial/députée provinciale 
5,00010,Membres des corps législatifs,Exemple(s) illustratif(s),député/députée 
5,00010,Membres des corps législatifs,Exemple(s) illustratif(s),député/députée à l'Assemblée législative 
5,00010,Membres des corps législatifs,Exemple(s) illustratif(s),gouverneur général/gouverneure générale 
5,00010,Membres des corps législatifs,Exemple(s) illustratif(s),lieutenant-gouverneur/lieutenante-gouverneure 
5,00010,Membres des corps législatifs,Exemple(s) illustratif(s),maire/mairesse 
5,00010,Membres des corps législatifs,Exemple(s) illustratif(s),membre de l'Assemblée nationale (MAN) 
5,00010,Membres des corps législatifs,Exemple(s) illustratif(s),ministre du cabinet 
5,00010,Membres des corps législatifs,Exemple(s) illustratif(s),premier ministre provincial/première ministre provinciale 
5,00010,Membres des corps législatifs,Exemple(s) illustratif(s),premier ministre/première ministre 
5,00010,Membres des corps législatifs,Exemple(s) illustratif(s),sénateur/sénatrice 
5,00010,Membres des corps législatifs,Tous les exemples,chef de bande - Premières nations 
5,00010,Membres des corps législatifs,Tous les exemples,chef de bande autochtone 
5,00010,Membres des corps législatifs,Tous les exemples,chef de l'opposition 
5,00010,Membres des corps législatifs,Tous les exemples,chef du gouvernement - Premières nations 
5,00010,Membres des corps législatifs,Tous les exemples,commissaire de conseil scolaire 
5,00010,Membres des corps législatifs,Tous les exemples,conseiller municipal/conseillère municipale 
5,00010,Membres des corps législatifs,Tous les exemples,député provincial/députée provinciale 
5,00010,Membres des corps législatifs,Tous les exemples,député/députée 
5,00010,Membres des corps législatifs,Tous les exemples,député/députée à la Chambre d'assemblée 
5,00010,Membres des corps législatifs,Tous les exemples,député/députée à l'Assemblée législative 
5,00010,Membres des corps législatifs,Tous les exemples,gouverneur général/gouverneure générale 
5,00010,Membres des corps législatifs,Tous les exemples,leader de l'opposition 
5,00010,Membres des corps législatifs,Tous les exemples,leader du gouvernement 
5,00010,Membres des corps législatifs,Tous les exemples,législateur/législatrice 
5,00010,Membres des corps législatifs,Tous les exemples,lieutenant-gouverneur/lieutenante-gouverneure 
5,00010,Membres des corps législatifs,Tous les exemples,maire/mairesse 
5,00010,Membres des corps législatifs,Tous les exemples,membre de l'Assemblée législative (MAL) 
5,00010,Membres des corps législatifs,Tous les exemples,membre de l'Assemblée nationale (MAN) 
5,00010,Membres des corps législatifs,Tous les exemples,membre du cabinet 
5,00010,Membres des corps législatifs,Tous les exemples,membre du conseil de bande - Premières nations 
5,00010,Membres des corps législatifs,Tous les exemples,membre du conseil de bande autochtone 
5,00010,Membres des corps législatifs,Tous les exemples,membre du Parlement (MP) 
5,00010,Membres des corps législatifs,Tous les exemples,ministre du cabinet 
5,00010,Membres des corps législatifs,Tous les exemples,orateur/oratrice - gouvernement 
5,00010,Membres des corps législatifs,Tous les exemples,préfet/préfète 
5,00010,Membres des corps législatifs,Tous les exemples,premier ministre provincial/première ministre provinciale 
5,00010,Membres des corps législatifs,Tous les exemples,premier ministre/première ministre 
5,00010,Membres des corps législatifs,Tous les exemples,président/présidente du Conseil du Trésor 
5,00010,Membres des corps législatifs,Tous les exemples,président/présidente du conseil d'une communauté urbaine 
5,00010,Membres des corps législatifs,Tous les exemples,président/présidente d'un conseil municipal 
5,00010,Membres des corps législatifs,Tous les exemples,président/présidente d'un corps législatif 
5,00010,Membres des corps législatifs,Tous les exemples,président/présidente d'une municipalité régionale 
5,00010,Membres des corps législatifs,Tous les exemples,procureur général/procureure générale 
5,00010,Membres des corps législatifs,Tous les exemples,sénateur/sénatrice 
5,00010,Membres des corps législatifs,Tous les exemples,solliciteur général/solliciteuse générale 
5,00010,Membres des corps législatifs,Exclusion(s),"Chef de direction - santé, enseignement, services communautaires et sociaux et associations mutuelles  (Voir 00013 Cadres supérieurs/cadres supérieures - santé, enseignement, services sociaux et communautaires et associations mutuelles)"
5,00010,Membres des corps législatifs,Exclusion(s),Commissaire - services gouvernementaux  (Voir 00011 Cadres supérieurs/cadres supérieures - administration publique)
5,00010,Membres des corps législatifs,Fonctions principales,Ce groupe exerce une partie ou l'ensemble des fonctions suivantes : 
