REF_DATE,GEO,NOC21_5,Title,VALUE
2021,Canada,10,Legislators,8630
2021,Canada,18,Seniors managers - public and private sector,246135
2021,Canada,10010,Financial managers,75105
2021,Canada,10011,Human resources managers,50350
2021,Canada,10012,Purchasing managers,26730
2021,Canada,10019,Other administrative services managers,46900
2021,Canada,10020,"Insurance, real estate and financial brokerage managers",35985
2021,Canada,10021,"Banking, credit and other investment managers",74470
2021,Canada,10022,"Advertising, marketing and public relations managers",92070
2021,Canada,10029,Other business services managers,22495
2021,Canada,10030,Telecommunication carriers managers,10510
2021,Canada,11100,Financial auditors and accountants,200345
2021,Canada,11101,Financial and investment analysts,58915
2021,Canada,11102,Financial advisors,97575
2021,Canada,11103,"Securities agents, investment dealers and brokers",15000
2021,Canada,11109,Other financial officers,30355
2021,Canada,11200,Human resources professionals,95170
2021,Canada,11201,Professional occupations in business management consulting,105710
2021,Canada,11202,"Professional occupations in advertising, marketing and public relations",149740
2021,Canada,12010,"Supervisors, general office and administrative support workers",18495
2021,Canada,12011,"Supervisors, finance and insurance office workers",17400
2021,Canada,12012,"Supervisors, library, correspondence and related information workers",3065
2021,Canada,12013,"Supervisors, supply chain, tracking and scheduling coordination occupations",28495
2021,Canada,12100,Executive assistants,47920
2021,Canada,12101,Human resources and recruitment officers,41320
2021,Canada,12102,Procurement and purchasing agents and officers,49730
2021,Canada,12103,Conference and event planners,21620
2021,Canada,12104,Employment insurance and revenue officers,32295
2021,Canada,12110,"Court reporters, medical transcriptionists and related occupations",9325
2021,Canada,12111,Health information management occupations,6115
2021,Canada,12112,Records management technicians,2850
2021,Canada,12113,Statistical officers and related research support occupations,5200
2021,Canada,12200,Accounting technicians and bookkeepers,140180
2021,Canada,12201,Insurance adjusters and claims examiners,30355
2021,Canada,12202,Insurance underwriters,16775
2021,Canada,12203,"Assessors, business valuators and appraisers",15895
2021,Canada,13100,Administrative officers,276185
2021,Canada,13101,Property administrators,45375
2021,Canada,13102,Payroll administrators,39695
2021,Canada,13110,Administrative assistants,264280
2021,Canada,13111,Legal administrative assistants,43830
2021,Canada,13112,Medical administrative assistants,34070
2021,Canada,13200,"Customs, ship and other brokers",4895
2021,Canada,13201,Production and transportation logistics coordinators,49920
2021,Canada,14100,General office support workers,178025
2021,Canada,14101,Receptionists,146105
2021,Canada,14102,Personnel clerks,11685
2021,Canada,14103,Court clerks and related court services occupations,4925
2021,Canada,14110,Survey interviewers and statistical clerks,14530
2021,Canada,14111,Data entry clerks,41165
2021,Canada,14112,Desktop publishing operators and related occupations,715
2021,Canada,14200,Accounting and related clerks,166695
2021,Canada,14201,"Banking, insurance and other financial clerks",19170
2021,Canada,14202,Collection clerks,12320
2021,Canada,14300,Library assistants and clerks,13105
2021,Canada,14301,"Correspondence, publication and regulatory clerks",19365
2021,Canada,14400,Shippers and receivers,119860
2021,Canada,14401,Storekeepers and partspersons,44345
2021,Canada,14402,Production logistics workers,8740
2021,Canada,14403,Purchasing and inventory control workers,34985
2021,Canada,14404,Dispatchers,30740
2021,Canada,14405,Transportation route and crew schedulers,3970
2021,Canada,20010,Engineering managers,31765
2021,Canada,20011,Architecture and science managers,15075
2021,Canada,20012,Computer and information systems managers,83780
2021,Canada,21100,Physicists and astronomers,2640
2021,Canada,21101,Chemists,16555
2021,Canada,21102,Geoscientists and oceanographers,11230
2021,Canada,21103,Meteorologists and climatologists,890
2021,Canada,21109,Other professional occupations in physical sciences,575
2021,Canada,21110,Biologists and related scientists,35430
2021,Canada,21111,Forestry professionals,5145
2021,Canada,21112,"Agricultural representatives, consultants and specialists",7125
2021,Canada,21120,Public and environmental health and safety professionals,20200
2021,Canada,21200,Architects,20055
2021,Canada,21201,Landscape architects,2165
2021,Canada,21202,Urban and land use planners,19545
2021,Canada,21203,Land surveyors,7315
2021,Canada,21210,"Mathematicians, statisticians and actuaries",13510
2021,Canada,21211,Data scientists,14865
2021,Canada,21220,Cybersecurity specialists,14650
2021,Canada,21221,Business systems specialists,31475
2021,Canada,21222,Information systems specialists,138025
2021,Canada,21223,Database analysts and data administrators,25050
2021,Canada,21230,Computer systems developers and programmers,42405
2021,Canada,21231,Software engineers and designers,87420
2021,Canada,21232,Software developers and programmers,90945
2021,Canada,21233,Web designers,12485
2021,Canada,21234,Web developers and programmers,54525
2021,Canada,21300,Civil engineers,66750
2021,Canada,21301,Mechanical engineers,56245
2021,Canada,21310,Electrical and electronics engineers,45815
2021,Canada,21311,Computer engineers (except software engineers and designers),25930
2021,Canada,21320,Chemical engineers,11510
2021,Canada,21321,Industrial and manufacturing engineers,16450
2021,Canada,21322,Metallurgical and materials engineers,2695
2021,Canada,21330,Mining engineers,3365
2021,Canada,21331,Geological engineers,3730
2021,Canada,21332,Petroleum engineers,5350
2021,Canada,21390,Aerospace engineers,5500
2021,Canada,21399,Other professional engineers,6120
2021,Canada,22100,Chemical technologists and technicians,12475
2021,Canada,22101,Geological and mineral technologists and technicians,7780
2021,Canada,22110,Biological technologists and technicians,10225
2021,Canada,22111,Agricultural and fish products inspectors,3530
2021,Canada,22112,Forestry technologists and technicians,6700
2021,Canada,22113,Conservation and fishery officers,3615
2021,Canada,22114,Landscape and horticulture technicians and specialists,25935
2021,Canada,22210,Architectural technologists and technicians,14045
2021,Canada,22211,Industrial designers,10900
2021,Canada,22212,Drafting technologists and technicians,28290
2021,Canada,22213,Land survey technologists and technicians,3325
2021,Canada,22214,Technical occupations in geomatics and meteorology,8895
2021,Canada,22220,Computer network and web technicians,67530
2021,Canada,22221,User support technicians,62305
2021,Canada,22222,Information systems testing technicians,10425
2021,Canada,22230,Non-destructive testers and inspectors,6635
2021,Canada,22231,Engineering inspectors and regulatory officers,7000
2021,Canada,22232,Occupational health and safety specialists,19835
2021,Canada,22233,Construction inspectors,16280
2021,Canada,22300,Civil engineering technologists and technicians,22305
2021,Canada,22301,Mechanical engineering technologists and technicians,31350
2021,Canada,22302,Industrial engineering and manufacturing technologists and technicians,16895
2021,Canada,22303,Construction estimators,27090
2021,Canada,22310,Electrical and electronics engineering technologists and technicians,44370
2021,Canada,22311,Electronic service technicians (household and business equipment),51495
2021,Canada,22312,Industrial instrument technicians and mechanics,9025
2021,Canada,22313,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",5420
2021,Canada,30010,Managers in health care,37415
2021,Canada,31100,Specialists in clinical and laboratory medicine,36370
2021,Canada,31101,Specialists in surgery,10770
2021,Canada,31102,General practitioners and family physicians,60895
2021,Canada,31103,Veterinarians,11565
2021,Canada,31110,Dentists,23475
2021,Canada,31111,Optometrists,6765
2021,Canada,31112,Audiologists and speech-language pathologists,12460
2021,Canada,31120,Pharmacists,42710
